Rk;Player;Nation;Pos;Squad;Age;Born;90s;Gls;Sh;SoT;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;Dist;PK;PKatt;Matches
165;George Elokobi;cm CMR;DF;Wolves;25;1986;3.3;0;;0;;;0.00;;;;0;0;Matches
166;Brett Emerton;au AUS;DF,MF;Blackburn;32;1979;1.5;0;;1;;;0.67;;0.00;;0;0;Matches
167;José Enrique;es ESP;DF;Liverpool;25;1986;33.3;0;;3;;;0.09;;0.00;;0;0;Matches
168;Hogan Ephraim;eng ENG;FW,MF;QPR;23;1988;0.5;0;;0;;;0.00;;;;0;0;Matches
169;Michael Essien;gh GHA;DF,MF;Chelsea;28;1982;10.2;0;;3;;;0.29;;0.00;;0;0;Matches
170;Matthew Etherington;eng ENG;MF;Stoke City;29;1981;26.2;3;;15;;;0.57;;0.20;;0;0;Matches
171;Dickson Etuhu;ng NGA;MF;Fulham;29;1982;10.1;0;;2;;;0.20;;0.00;;0;0;Matches
172;Jonny Evans;nir NIR;DF;Manchester Utd;23;1988;26.9;1;;4;;;0.15;;0.25;;0;0;Matches
173;Patrice Evra;fr FRA;DF;Manchester Utd;30;1981;35.9;0;;3;;;0.08;;0.00;;0;0;Matches
174;Fábio;br BRA;DF;Manchester Utd;21;1990;2.8;0;;1;;;0.36;;0.00;;0;0;Matches
175;Alejandro Faurlín;ar ARG;MF;QPR;24;1986;20.0;1;;7;;;0.35;;0.14;;0;0;Matches
176;Marouane Fellaini;be BEL;MF;Everton;23;1987;31.7;3;;16;;;0.50;;0.19;;0;0;Matches
177;Anton Ferdinand;eng ENG;DF;Sunderland;26;1985;3.0;0;;0;;;0.00;;;;0;0;Matches
178;Anton Ferdinand;eng ENG;DF;QPR;26;1985;30.5;0;;0;;;0.00;;;;0;0;Matches
179;Rio Ferdinand;eng ENG;DF;Manchester Utd;32;1978;28.5;0;;1;;;0.04;;0.00;;0;0;Matches
180;Shane Ferguson;nir NIR;DF,MF;Newcastle Utd;20;1991;1.8;0;;0;;;0.00;;;;0;0;Matches
181;Paulo Ferreira;pt POR;DF;Chelsea;32;1979;4.1;0;;0;;;0.00;;;;0;0;Matches
182;Maynor Figueroa;hn HON;DF;Wigan Athletic;28;1983;37.2;0;;7;;;0.19;;0.00;;0;0;Matches
183;Jon Flanagan;eng ENG;DF;Liverpool;18;1993;4.3;0;;0;;;0.00;;;;0;0;Matches
184;Darren Fletcher;sct SCO;MF;Manchester Utd;27;1984;7.2;1;;2;;;0.28;;0.50;;0;0;Matches
185;Steven Fletcher;sct SCO;FW;Wolves;24;1987;26.1;12;;31;;;1.19;;0.39;;0;0;Matches
186;Kevin Foley;ie IRL;DF,MF;Wolves;26;1984;11.9;0;;0;;;0.00;;;;0;0;Matches
187;Anthony Forde;ie IRL;DF,FW;Wolves;17;1993;2.7;0;;2;;;0.74;;0.00;;0;0;Matches
188;Mauro Formica;ar ARG;MF;Blackburn;23;1988;24.1;4;;14;;;0.58;;0.29;;0;1;Matches
189;Marc-Antoine Fortuné;fr FRA;FW;West Brom;30;1981;12.3;2;;15;;;1.22;;0.13;;0;0;Matches
190;Ben Foster;eng ENG;GK;West Brom;28;1983;37.0;0;;0;;;0.00;;;;0;0;Matches
191;David Fox;eng ENG;MF;Norwich City;27;1983;21.5;0;;3;;;0.14;;0.00;;0;0;Matches
192;Kerim Frei;tr TUR;FW,MF;Fulham;17;1993;7.6;0;;6;;;0.79;;0.00;;0;0;Matches
193;Brad Friedel;us USA;GK;Tottenham;40;1971;38.0;0;;0;;;0.00;;;;0;0;Matches
194;Emmanuel Frimpong;gh GHA;MF;Arsenal;19;1992;2.4;0;;1;;;0.41;;0.00;;0;0;Matches
195;Emmanuel Frimpong;gh GHA;MF;Wolves;19;1992;3.2;0;;1;;;0.31;;0.00;;0;0;Matches
196;Zeki Fryers;eng ENG;DF;Manchester Utd;18;1992;0.8;0;;0;;;0.00;;;;0;0;Matches
197;Ricardo Fuller;jm JAM;FW;Stoke City;31;1979;4.0;0;;2;;;0.50;;0.00;;0;0;Matches
198;Márton Fülöp;hu HUN;GK;West Brom;28;1983;1.0;0;;0;;;0.00;;;;0;0;Matches
199;Danny Gabbidon;wls WAL;DF;QPR;31;1979;15.8;0;;3;;;0.19;;0.00;;0;0;Matches
200;William Gallas;fr FRA;DF;Tottenham;33;1977;14.7;0;;0;;;0.00;;;;0;0;Matches
201;Morten Gamst Pedersen;no NOR;FW,MF;Blackburn;29;1981;31.4;3;;9;;;0.29;;0.33;;0;0;Matches
202;Craig Gardner;eng ENG;MF;Sunderland;24;1986;23.5;3;;14;;;0.59;;0.21;;0;0;Matches
203;Gary Gardner;eng ENG;MF;Aston Villa;19;1992;6.8;0;;5;;;0.74;;0.00;;0;0;Matches
204;Ricardo Gardner;jm JAM;DF,MF;Bolton;32;1978;1.8;0;;0;;;0.00;;;;0;0;Matches
205;David de Gea;es ESP;GK;Manchester Utd;20;1990;29.0;0;;0;;;0.00;;;;0;0;Matches
206;Marcel Gecov;cz CZE;MF;Fulham;23;1988;0.1;0;;0;;;0.00;;;;0;0;Matches
207;Zoltán Gera;hu HUN;MF;West Brom;32;1979;1.9;0;;0;;;0.00;;;;0;0;Matches
208;Steven Gerrard;eng ENG;MF;Liverpool;31;1980;13.5;5;;12;;;0.89;;0.42;;0;0;Matches
209;Gervinho;ci CIV;FW,MF;Arsenal;24;1987;18.7;4;;13;;;0.70;;0.31;;0;0;Matches
210;Kieran Gibbs;eng ENG;DF,MF;Arsenal;21;1989;13.9;1;;5;;;0.36;;0.20;;0;0;Matches
211;Darron Gibson;ie IRL;MF;Manchester Utd;23;1987;1.0;0;;1;;;1.00;;0.00;;0;0;Matches
212;Darron Gibson;ie IRL;MF;Everton;23;1987;10.3;1;;;;;;;;;0;0;Matches
213;Ryan Giggs;wls WAL;FW,MF;Manchester Utd;37;1973;16.4;2;;9;;;0.55;;0.22;;0;0;Matches
214;Shay Given;ie IRL;GK;Aston Villa;35;1976;31.4;0;;0;;;0.00;;;;0;0;Matches
215;Gaël Givet;fr FRA;DF;Blackburn;29;1981;19.4;0;;2;;;0.10;;0.00;;0;0;Matches
216;Steve Gohouri;ci CIV;DF;Wigan Athletic;30;1981;7.6;0;;2;;;0.26;;0.00;;0;0;Matches
217;Jordi Gómez;es ESP;MF;Wigan Athletic;26;1985;19.9;5;;17;;;0.86;;0.18;;2;2;Matches
218;David Goodwillie;sct SCO;FW;Blackburn;22;1989;6.8;2;;3;;;0.44;;0.67;;0;0;Matches
219;Craig Gordon;sct SCO;GK;Sunderland;28;1982;1.0;0;;0;;;0.00;;;;0;0;Matches
220;Johnny Gorman;nir NIR;MF;Wolves;18;1992;0.0;0;;0;;;0.00;;;;0;0;Matches
221;Dan Gosling;eng ENG;DF,MF;Newcastle Utd;21;1990;2.7;1;;2;;;0.73;;0.50;;0;0;Matches
222;Mark Gower;eng ENG;MF;Swansea City;32;1978;12.5;0;;1;;;0.08;;0.00;;0;0;Matches
223;Danny Graham;eng ENG;FW;Swansea City;25;1985;31.5;12;;38;;;1.20;;0.29;;1;1;Matches
224;Vince Grella;au AUS;MF;Blackburn;31;1979;0.1;0;;0;;;0.00;;;;0;0;Matches
225;Zdeněk Grygera;cz CZE;DF;Fulham;31;1980;4.5;0;;0;;;0.00;;;;0;0;Matches
226;Adlène Guedioura;dz ALG;MF;Wolves;25;1985;3.3;0;;2;;;0.60;;0.00;;0;0;Matches
227;Magaye Gueye;fr FRA;FW,MF;Everton;21;1990;6.1;1;;5;;;0.82;;0.20;;0;0;Matches
228;Danny Guthrie;eng ENG;MF;Newcastle Utd;24;1987;12.5;1;;4;;;0.32;;0.25;;0;0;Matches
