player,team,season,matches_played,starts,minutes,minutes_90s,goals,assists,goals_assists,non_penalty_goals,penalties_scored,penalties_attempted,yellow_cards,red_cards,goals_assists_non_penalty_per_90
Alan Smith,Newcastle Utd,2011-2012,2,0,7.0,0.1,0,0,0,0,0,0,1,0,0.0
Tommy Smith,QPR,2011-2012,17,4,552.0,6.1,2,0,2,2,0,0,0,0,0.33
Alexandre Song,Arsenal,2011-2012,34,34,,33.3,1,11,12,1,0,0,10,0,0.36
Marvin Sordell,Bolton,2011-2012,3,0,43.0,0.5,0,0,0,0,0,0,0,0,0.0
Jay Spearing,Liverpool,2011-2012,16,15,,14.4,0,1,1,0,0,0,0,1,0.07
Sébastien Squillaci,Arsenal,2011-2012,1,0,10.0,0.1,0,0,0,0,0,0,0,0,0.0
Ronnie Stam,Wigan Athletic,2011-2012,20,13,,13.6,0,1,1,0,0,0,3,0,0.07
Richard Stearman,Wolves,2011-2012,30,28,,26.7,0,0,0,0,0,0,7,0,0.0
Grétar Steinsson,Bolton,2011-2012,23,20,,20.9,1,0,1,1,0,0,6,0,0.05
Raheem Sterling,Liverpool,2011-2012,3,0,30.0,0.3,0,0,0,0,0,0,0,0,0.0
David Stockdale,Fulham,2011-2012,8,8,720.0,8.0,0,0,0,0,0,0,0,0,0.0
Denis Stracqualursi,Everton,2011-2012,20,7,733.0,8.1,1,1,2,1,0,0,1,0,0.25
Daniel Sturridge,Chelsea,2011-2012,30,28,,25.0,11,3,14,11,0,0,3,0,0.56
Luis Suárez,Liverpool,2011-2012,31,29,,28.3,11,3,14,11,0,1,5,0,0.5
Andrew Surman,Norwich City,2011-2012,25,21,,21.3,4,0,4,4,0,0,1,0,0.19
Wojciech Szczęsny,Arsenal,2011-2012,38,38,,38.0,0,0,0,0,0,0,2,0,0.0
Thomas Sørensen,Stoke City,2011-2012,16,16,,15.8,0,0,0,0,0,0,1,0,0.0
Adel Taarabt,QPR,2011-2012,27,24,,22.3,2,3,5,2,0,0,4,1,0.22
Taye Taiwo,QPR,2011-2012,15,13,,13.3,1,2,3,1,0,0,1,0,0.23
Gabriel Tamaș,West Brom,2011-2012,8,7,664.0,7.4,0,0,0,0,0,0,1,0,0.0
Alan Tate,Swansea City,2011-2012,5,1,165.0,1.8,0,0,0,0,0,0,0,0,0.0
Neil Taylor,Swansea City,2011-2012,36,35,,34.2,0,1,1,0,0,0,4,0,0.03
Ryan Taylor,Newcastle Utd,2011-2012,31,23,,23.6,2,3,5,2,0,0,5,0,0.21
Steven Taylor,Newcastle Utd,2011-2012,14,14,,14.0,0,0,0,0,0,0,1,0,0.0
Somen Tchoyi,West Brom,2011-2012,18,6,655.0,7.3,1,0,1,1,0,0,0,0,0.14
John Terry,Chelsea,2011-2012,31,31,,31.0,6,1,7,6,0,0,8,0,0.23
Carlos Tevez,Manchester City,2011-2012,13,7,601.0,6.7,4,3,7,4,0,1,1,0,1.05
Jerome Thomas,West Brom,2011-2012,29,26,,22.0,1,1,2,1,0,0,4,0,0.09
